ID,QUARTER,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A1,A2,A6,A3,A4,A5,A7,A9,A10,A11,A12,A32,A33,A34,A35,A8,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,A65,A66,A67,A68,A69,A70,A71,A72,A73,A74,A75,A76,A77,A78,A79,A80,A81,A82,A83,A84,LABEL
0,2015-03-31,1465549447.0,979510346.0,0.0,0.0,72600519.0,54000000.0,16143.0,0.0,39188458.0,46360828.0,-43236290.0,3124538.0,1470558.0,4595096.0,-24914.0,-42367.0,4570182.0,-592351.0,5675916.0,1465549447.0,730302299.0,693122104.0,0.0,0.0,0.0,10037427.0,6858298.0,-8054586.0,-8324092.0,25205071.0,2571396.0,-5941678.0,3667407.0,1225996313.0,1455512020.0,0.7455789537928985,0.7455789537928985,0.0,108.4593197535818,0.66835707795808,0.3247940047156935,0.4962061942324803,0.0,1.4531999675274487,0.0,15.702729160334048,0.0498797110586555,1.3412395761881617,0.0673960784306958,0.0,0.0,0.0,0.0441407180399501,0.004307514606755,2.1949798658233632,0.0,0.0039877104504674,0.0032283621427979,0.0077720089444768,0.8275983341639573,0.078180102266211,0.8095778725407494,0.9326039215693042,91.45749079373648,3.1719838998561456,0.0913853393645169,-66116029.0,0.4530363028628331,0.055464841999802,0.1806577599367264,20.07703874146784,-0.8687928422697205,1.6934866654027183,0.6748830473056392,2.066415727701513,0.0611044614377822,0.9671461798796686,1.0454798047323504,0.2359950830210908,-0.5363522427695127,0.67418565212968,0.0046296354563343,-0.2032698176637991,-0.0539284076949748,0
0,2015-06-30,1460958067.0,959522792.0,0.0,0.0,71944144.0,60000000.0,16073.0,0.0,38141973.0,35775809.0,-29057809.0,6718000.0,-3429788.0,3288212.0,13564.0,-18914.0,3301776.0,-644237.0,2930545.0,1460958067.0,726631228.0,693581790.0,0.0,0.0,0.0,9563711.0,6807984.0,-8218037.0,-8790750.0,24351847.0,867628.0,-5509954.0,1837734.0,1225996313.0,1451394356.0,0.757283968716816,0.757283968716816,0.0,173.85069260864967,0.6567764083539572,0.3366774003377333,0.5225881856905386,0.0,1.4801243178807155,0.0,14.870022911825282,0.0495689842685319,1.3205086088042448,0.1877805195125007,0.0,0.0,0.0,0.030283604769234,0.0092849873394816,1.0133944626376898,0.0,0.0020622299030933,0.002313920828416,0.0040330567791121,0.4304570927311227,0.0407336141215329,1.1220479467129834,0.8122194804874993,92.66246921208686,9.586891522145592,0.0528681266159487,-63072024.0,0.2960637014616735,0.0242518065768966,0.0610551418374774,20.390604338641296,0.2920026571322523,0.2637668504960546,0.2211779339403688,2.0605675311292764,0.0577801561322675,0.0192441521265657,0.0502495760361132,-0.0459645422274189,0.0556287103353561,0.2211429879275317,0.0023903375311374,-0.1899610639367396,-0.0514455250241849,0
0,2015-09-30,1510509513.0,954118423.0,0.0,0.0,72411410.0,60000000.0,16055.0,0.0,37221149.0,58727589.0,-60205188.0,-1477599.0,-3176930.0,-4654529.0,9155.0,-14203.0,-4645374.0,236717.0,3014754.0,1510509513.0,737496810.0,730169743.0,0.0,0.0,0.0,9189853.0,6775007.0,-8453393.0,-9283359.0,26859708.0,9994088.0,-6458222.0,11822693.0,1225996313.0,1501319660.0,0.772961502704366,0.772961502704366,0.0,-327.7144969372668,0.6316533691370403,0.3622626883780506,0.5831467840758798,0.0,1.5382435949462847,0.0,15.526701621325929,0.0482318402464669,1.2937254915041598,0.0251602189900899,0.0,0.0,0.0,0.0631003306808593,0.0020269783177387,4.585145902237346,0.0,0.0020851341965135,-0.0032192734752368,0.0040878197154507,0.4449816804617323,0.0416336872876802,-1.5439166844127248,1.02516021899009,107.54673412525074,5.409603993789018,0.0241845446779706,-103142903.0,3.315059205494047,0.1701770525604243,0.6912343312842789,20.819073811660992,-2.2359328415598694,0.1862428609059835,0.8205185321450151,2.0977800034794942,0.0936569807108744,0.0678607513217652,0.1074916628277836,-2.9174956743841145,-1.2904877961032224,0.8208582425340627,0.0024590237083363,-0.1766902646468236,-0.0841298639370378,0
0,2015-12-31,1514682955.0,992636412.0,0.0,0.0,70673370.0,60000000.0,16038.0,0.0,44381683.0,39972450.0,-33398769.0,6573681.0,-3716751.0,2856930.0,-17037.0,-47090.0,2839893.0,-166709.0,2487272.0,1514682955.0,777895021.0,695416225.0,0.0,0.0,0.0,9125350.0,7108125.0,-8634822.0,-9692504.0,25121880.0,34515283.0,-15368546.0,7824237.0,1225996313.0,1505557605.0,0.7836656116942847,0.7836656116942847,0.0,60.66956891059673,0.655342696452275,0.3386327094438057,0.5259191952752988,0.0,1.4842405821397573,0.0,14.504075496054172,0.0469416578716694,1.276054461338428,0.1644552935834556,0.0,0.0,0.0,0.0336465281710822,0.0087746717234712,1.0813005681291803,0.0,0.0017178255618571,0.001973128545023,0.0031974391567676,0.3499195638793634,0.0351939068421387,1.148619853397618,0.8355447064165444,93.38761822205043,9.298281691515031,0.1178061389782212,-82269079.0,13.876762573614789,0.8634767946423099,2.383785746477781,21.30435131848013,2.843357419920568,-2.833318584539256,0.0636350236481893,2.0989652203681164,0.0966786855976095,-0.1656595699395971,-0.1554644675152522,-0.038693775919648,0.1560152993932999,0.0628327068631056,0.0020287760849081,-0.1751566368699185,-0.06710385514838,0
1,2015-03-31,12851007.0,7593097.0,0.0,0.0,1181380.0,860500.0,12341.0,0.0,0.0,592741.0,-336819.0,255922.0,-234133.0,21789.0,-336.0,-1278.0,21453.0,-32187.0,19604.0,12851007.0,6196815.0,6157383.0,0.0,0.0,0.0,101538.0,53995.0,-91222.0,-14470.0,341276.0,340223.0,-15671.0,17391.0,1144847.0,12749469.0,0.8161116603673046,0.8161116603673046,0.0,17.049295774647888,0.5908561873789346,0.401242641919034,0.6924592165752657,0.0,1.6270301828094649,0.0,14.711374694818415,0.0926611139648247,1.2253225245549528,0.4317602460433815,0.0,0.0,0.0,0.0443585799048793,0.0430548155590327,0.2109822524050296,0.0,0.0015713833174944,0.0017465247451992,0.0031635606355845,0.3630706546902491,0.0165941526011952,1.1114568455417262,0.5682397539566185,101.96983168027856,39.50005145586352,0.2156085035453933,-300727.0,17.354774535809018,0.5739825657411922,2.727100318444789,10.710217236684864,-0.1959766860676789,-3.053741419474027,0.2553803897135285,2.060499731461384,0.0620441367485004,-0.4868437865592339,-0.4797654114587479,-0.6366380388559993,-0.0307893899686425,0.2623414754939243,0.0171236855230436,-1.2196232334975765,-0.2626787684293185,0
1,2015-06-30,12960419.0,7591665.0,0.0,0.0,1186144.0,900000.0,0.0,0.0,0.0,597128.0,-360322.0,236806.0,-221428.0,15378.0,1443.0,-2724.0,16821.0,-3881.0,11674.0,12960419.0,6334918.0,6117061.0,0.0,0.0,0.0,108729.0,52573.0,-88864.0,-17711.0,347138.0,222778.0,-30829.0,613967.0,1144847.0,12851690.0,0.8344569998807904,0.8344569998807904,0.0,5.645374449339207,0.5857576826798578,0.4058530052153406,0.7071905833568789,0.0,1.640217132868745,0.0,14.378393333333332,0.0922947876894011,1.1983840990522687,0.396574938706609,0.0,0.0,0.0,0.0474628424726328,0.0392008006825534,0.2220087328868356,0.0,0.000931658826761,0.001227261387522,0.001842802069419,0.2220531451505525,0.0098419753419483,1.3172862771971905,0.603425061293391,98.53080076633486,37.08216663763883,0.4561835988263822,-519510.0,19.08326194963166,0.3730824881767393,1.777908943876853,11.951807236427731,-0.6018801948810847,-5.821451180725269,0.2274043600518283,2.068491791311184,0.0710862587464051,-0.7449198674920049,-0.7403585249766469,-0.714397147314464,-0.0765457133386628,0.2223924221125378,0.0101969957557647,-1.0977423184058657,-0.4537811602773122,0
1,2015-09-30,13405909.0,7821985.0,0.0,0.0,1206854.0,900000.0,0.0,0.0,0.0,633342.0,-411469.0,221873.0,-276389.0,-54516.0,1443.0,-1006.0,-53073.0,-3037.0,20507.0,13405909.0,6731445.0,6148460.0,0.0,0.0,0.0,112363.0,52299.0,-91064.0,-21064.0,361342.0,745059.0,-43064.0,49854.0,1144847.0,13293546.0,0.8605801468553059,0.8605801468553059,0.0,-54.19085487077535,0.583472929735686,0.408145467793344,0.7138755699480375,0.0,1.6466287010266576,0.0,14.871788888888888,0.0907849568504897,1.1620068202295346,0.3503209956074285,0.0,0.0,0.0,0.0526041663337375,0.0355616454559741,0.2357159275801922,0.0,0.0016080033353503,-0.0042747310591486,0.0030464484222926,0.3921107478154458,0.0169921133790831,-2.6584093236455844,0.6496790043925714,109.24603137009704,43.63977124523559,0.158839931664093,-433532.0,36.33193543668016,1.1763928493610087,5.842187336191571,10.814120068490483,-0.3812398218455177,0.4743664629407538,0.2788166475765445,2.108365978773149,0.1079028321464577,0.0298008983423056,0.0665175785313085,-4.248674095703474,-0.053458985341547,0.2769490952767263,0.0179124372077666,-0.9525639670628476,-0.37868116875006,0
1,2015-12-31,13131444.0,7389074.0,0.0,0.0,1218807.0,900000.0,0.0,0.0,0.0,650351.0,-392252.0,258099.0,-226566.0,31533.0,486.0,2042.0,32019.0,7847.0,32429.0,13131444.0,6248722.0,6341839.0,0.0,0.0,0.0,101372.0,66521.0,-87394.0,-25669.0,372990.0,346495.0,-47340.0,49942.0,1144847.0,13030072.0,0.8456705129763216,0.8456705129763216,0.0,15.442213516160626,0.5627007966526758,0.4295794125916388,0.7771433876558822,0.0,1.7039430109916345,0.0,14.574962222222222,0.0935380096134541,1.1824936362987504,0.3968610796323831,0.0,0.0,0.0,0.0530854069129636,0.043232301237008,0.2577344352360916,0.0,0.002570496535291,0.0024994747678723,0.0051897011900993,0.4875001879105846,0.02660716585973,0.9723704092016404,0.6031389203676168,93.63082397044056,34.83749544476752,0.3139842946347433,-567687.0,10.68472663356872,0.5327815287437092,2.746505279212052,10.940067949086588,-0.7405837331588517,1.92066763173482,0.0908859371407347,2.087567110969282,0.0852202560656356,0.1729397752643785,0.2267912536884315,-0.116103714085494,-0.0874476721163093,0.1333808308897733,0.028326055796102,-0.9960737111596571,-0.4958627659416498,0
2,2015-03-31,101648650.0,5461413.0,38358923.0,43820336.0,57828314.0,31305331.0,28307381.0,8911101.0,0.0,803581.0,-693124.0,110457.0,85532.0,195989.0,1242593.0,-644404.0,1438582.0,-183335.0,1255247.0,101648650.0,14878373.0,86770277.0,1400994.0,352560.0,525.0,0.0,0.0,0.0,0.0,49630056.0,-1891588.0,767553.0,1393788.0,489608327.0,57828314.0,2.724271722354636,2.724175593385814,0.2565259210391157,0.304139949472691,0.4310960942422747,0.9462716622404724,1.3196684297445824,0.7577661005299238,2.319668429744582,0.0236961393560976,0.9700668206472473,1.0,0.3670705795586654,0.1374559627467548,0.4387361074988085,0.0047529807979575,1047.8065003779288,0.1269129435917041,0.0079777800584894,0.0,0.0060966674560147,0.0126846423240127,0.0019805268321222,0.0843672221418296,0.0,0.0217064429718632,0.1561358043476702,0.8625440372532451,178.61684136384508,10.6438554420774,80.1915426074036,-3190065.0,-1.506944848304756,-2.353948139639937,1.911505640275942,12.902207126076153,-54.83713799494074,1.6327190116381511,1.436159572853468,2.045465437059917,0.0558992487756184,0.1871940553226163,0.2142549665831204,-0.7210950763402774,-7.196050933976553,78.3822837731905,0.0025637778828054,-0.0591124811486304,-0.0065155448224229,0
2,2015-06-30,99967773.0,5417166.0,38118127.0,43535293.0,56432480.0,31305331.0,28281359.0,9768355.0,0.0,814781.0,-701757.0,113024.0,-1882527.0,-1769503.0,435858.0,-4439454.0,-1333645.0,-24465.0,-1358110.0,99967773.0,15206942.0,84760831.0,1104662.0,301784.0,619.0,0.0,3838.0,0.0,0.0,47773340.0,-2172047.0,1261560.0,1084627.0,489608327.0,56432480.0,2.807176667652422,2.8070624012629484,0.2039188018236842,-0.3985857269835435,0.4354932764181913,0.9458108764711604,1.2962467026465172,0.7714580858399277,2.296246702646517,0.0198451470387669,0.94706519190779,1.0,0.3562298060977677,0.1387170294839963,0.3703866437729893,0.0054767129105322,990.4827099506,0.1295431965717867,0.0080674578924401,0.0339573895809739,0.0053477004732026,0.0138416589170781,-0.0180345163342781,-0.0893085539485847,-353.8587806149036,0.0240661051933212,1.302915816833688,0.8612829705160037,865.0426310873719,231.04699299566383,544.8646937029705,-2074690.0,1.599315961151895,-2.665804676348614,2.213718603490346,1.3351185157018612,723.7344358101373,138.98112954648002,1.2854951548558822,2.0112251075895053,0.0384387437754613,11.519545309372536,11.495836591986016,1.8926492993572264,59.86375875067313,0.8942766732709845,-0.0027738703063357,-0.0578592099803073,-0.0042374483553258,0
